SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
πρόεδρος:NOUN,pp,κύριος:NOUN,nmod,1,1,0
θέλω:VERB,pp,πρόεδρος:NOUN,vocative,8,9,1
βουλευτής:NOUN,pp,κυρία:NOUN,nmod,3,6,3
κύριος:NOUN,pp,και:CCONJ,cc,1,5,4
κυρία:NOUN,pp,κύριος:NOUN,conj,-2,3,5
πρόεδρος:NOUN,pp,βουλευτής:NOUN,conj,-5,1,6
θέλω:VERB,pp,θα:PART,aux,1,9,8
θέλω:VERB,pp,καταρχάς:ADV,advmod,-1,9,10
συγχαίρω:VERB,pp,να:PART,aux,1,12,11
θέλω:VERB,pp,συγχαίρω:VERB,ccomp,-3,9,12
κ.:NOUN,pp,ο:DET,det,2,15,13
κ.:NOUN,pp,εισηγητής:NOUN,nmod,1,15,14
συγχαίρω:VERB,pp,κ.:NOUN,obj,-3,12,15
κ.:NOUN,pp,Oostlander:X,flat,-1,15,16
εργασία:NOUN,pp,για:ADP,case,3,20,17
εργασία:NOUN,pp,ο:DET,det,2,20,18
εργασία:NOUN,pp,εξαίρετος:ADJ,amod,1,20,19
συγχαίρω:VERB,pp,εργασία:NOUN,obl,-8,12,20
παρουσιάζω:VERB,pp,που:PRON,obj,1,22,21
εργασία:NOUN,pp,παρουσιάζω:VERB,acl:relcl,-2,20,22
υπενθυμίζω:VERB,pp,και:CCONJ,cc,2,25,23
υπενθυμίζω:VERB,pp,να:PART,aux,1,25,24
συγχαίρω:VERB,pp,υπενθυμίζω:VERB,conj,-13,12,25
εντάσσω:VERB,pp,ότι:SCONJ,mark,9,35,26
απόφαση:NOUN,pp,αυτός:PRON,det,2,29,27
απόφαση:NOUN,pp,ο:DET,det,1,29,28
εντάσσω:VERB,pp,απόφαση:NOUN,nsubj:pass,6,35,29
απόφαση:NOUN,pp,πλαίσιο:NOUN,nmod,-1,29,30
υποβάλλω:VERB,pp,που:PRON,obj,1,32,31
απόφαση:NOUN,pp,υποβάλλω:VERB,acl:relcl,-3,29,32
επιτροπή:NOUN,pp,ο:DET,det,1,34,33
υποβάλλω:VERB,pp,επιτροπή:NOUN,nsubj,-2,32,34
υπενθυμίζω:VERB,pp,εντάσσω:VERB,ccomp,-10,25,35
στρατηγική:NOUN,pp,σε:ADP,case,3,39,36
στρατηγική:NOUN,pp,ένας:DET,det,2,39,37
στρατηγική:NOUN,pp,συνολικός:ADJ,amod,1,39,38
εντάσσω:VERB,pp,στρατηγική:NOUN,obl,-4,35,39
στρατηγική:NOUN,pp,καταπολέμηση:NOUN,nmod,-1,39,40
ναρκωτικός:NOUN,pp,ο:DET,det,1,42,41
καταπολέμηση:NOUN,pp,ναρκωτικός:NOUN,nmod,-2,40,42
οποίος:PRON,pp,ο:DET,det,1,45,44
βασίζω:VERB,pp,οποίος:PRON,nsubj:pass,1,46,45
στρατηγική:NOUN,pp,βασίζω:VERB,acl:relcl,-7,39,46
προσέγγιση:NOUN,pp,σε:ADP,case,3,50,47
προσέγγιση:NOUN,pp,ο:DET,det,2,50,48
προσέγγιση:NOUN,pp,ισόρροπος:ADJ,amod,1,50,49
βασίζω:VERB,pp,προσέγγιση:NOUN,obl,-4,46,50
προσέγγιση:NOUN,pp,μέτρο:NOUN,nmod,-1,50,51
μείωση:NOUN,pp,για:ADP,case,2,54,52
μείωση:NOUN,pp,ο:DET,det,1,54,53
μέτρο:NOUN,pp,μείωση:NOUN,nmod,-3,51,54
ζήτηση:NOUN,pp,ο:DET,det,1,56,55
μείωση:NOUN,pp,ζήτηση:NOUN,nmod,-2,54,56
προσφορά:NOUN,pp,και:CCONJ,cc,2,59,57
προσφορά:NOUN,pp,ο:DET,det,1,59,58
ζήτηση:NOUN,pp,προσφορά:NOUN,conj,-3,56,59
