SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
lukarnastaþa:NOUN,pp,ana:ADP,case,1,2,1
ak:CCONJ,pp,lukarnastaþa:NOUN,obl,-2,0,2
ak:CCONJ,pp,jah:CCONJ,cc,-3,0,3
ak:CCONJ,pp,liuhtjan:VERB,conj,-4,0,4
in:ADP,pp,alls:DET,det,2,7,5
in:ADP,pp,sa:DET,det,1,7,6
gards:NOUN,pp,in:ADP,case,2,9,7
gards:NOUN,pp,sa:DET,det,1,9,8
liuhtjan:VERB,pp,gards:NOUN,obl,-5,4,9
liuhtjan:VERB,pp,swa:ADV,advmod,1,11,10
liuhtjan:VERB,pp,liuhaþ:NOUN,nsubj,-1,11,12
liuhaþ:NOUN,pp,izwar:ADJ,nmod,-1,12,13
andwairþi:NOUN,pp,in:ADP,case,1,15,14
liuhtjan:VERB,pp,andwairþi:NOUN,obl,-4,11,15
andwairþi:NOUN,pp,manna#2:NOUN,nmod,-1,15,16
ga-saiƕan:VERB,pp,ei:SCONJ,mark,1,18,17
liuhtjan:VERB,pp,ga-saiƕan:VERB,advcl,-7,11,18
waurstw:NOUN,pp,izwar:ADJ,nmod,2,21,19
waurstw:NOUN,pp,goþs:ADJ,amod,1,21,20
ga-saiƕan:VERB,pp,waurstw:NOUN,obj,-3,18,21
ga-saiƕan:VERB,pp,jah:CCONJ,cc,-4,18,22
ga-saiƕan:VERB,pp,hauhjan:VERB,conj,-5,18,23
hauhjan:VERB,pp,atta:NOUN,obj,-1,23,24
atta:NOUN,pp,izwar:ADJ,nmod,-1,24,25
in:ADP,pp,sa:DET,det,1,27,26
himins:NOUN,pp,in:ADP,case,1,28,27
atta:NOUN,pp,himins:NOUN,nmod,-4,24,28
hugjan:VERB,pp,ni:ADV,advmod,1,30,29
qiman:VERB,pp,ei:SCONJ,mark,1,32,31
hugjan:VERB,pp,qiman:VERB,ccomp,-2,30,32
qiman:VERB,pp,ga-tairan:VERB,advcl,-1,32,33
ga-tairan:VERB,pp,witoþ:NOUN,obj,-1,33,34
witoþ:NOUN,pp,aiþþau:CCONJ,cc,-1,34,35
witoþ:NOUN,pp,praufetes:NOUN,conj,-2,34,36
ga-tairan:VERB,pp,ni:ADV,advmod,2,39,37
qiman:VERB,pp,ga-tairan:VERB,advcl,-1,38,39
ga-tairan:VERB,pp,ak:CCONJ,cc,-1,39,40
ga-tairan:VERB,pp,us-fulljan:VERB,conj,-2,39,41
us-leiþan:VERB,pp,und:ADP,advmod,12,54,42
us-leiþan:VERB,pp,þatei:SCONJ,mark,1,44,43
und:ADP,pp,us-leiþan:VERB,ccomp,-2,42,44
us-leiþan:VERB,pp,himins:NOUN,nsubj,-1,44,45
himins:NOUN,pp,jah:CCONJ,cc,-1,45,46
himins:NOUN,pp,airþa:NOUN,conj,-2,45,47
us-leiþan:VERB,pp,jota:NOUN,nsubj,6,54,48
jota:NOUN,pp,ains:NUM,nummod,-1,48,49
jota:NOUN,pp,aiþþau:CCONJ,cc,-2,48,50
striks:NOUN,pp,ains:NUM,nummod,1,52,51
jota:NOUN,pp,striks:NOUN,conj,-4,48,52
