probability,verb,prev_layer,subj_freq,obj_freq,iobj_freq,subj_avdist,obj_avdist,iobj_avdist
0.4117055073436296,γράφω:VERB,,0.4,0.38333333333333336,0.21666666666666667,-0.8126984126984126,-5.351219512195122,-1.5
0.33369430527126553,δέω:VERB,,0.36231884057971014,0.463768115942029,0.17391304347826086,-0.20486111111111116,-3.129032258064516,-0.95
0.12554413060944083,διαστέλλω:VERB,,0.0,0.4545454545454546,0.5454545454545454,0.0,-1.0,-0.3333333333333333
0.4581609210220975,διατίθημι:VERB,,0.3333333333333333,0.4166666666666667,0.25,0.0,-1.4,-1.3333333333333333
0.46779044518238355,διηγέομαι:VERB,,0.2631578947368421,0.42105263157894735,0.3157894736842105,-0.8,-2.4,-1.4
0.3003461500192157,δυνατέω:VERB,,0.5,0.25,0.25,-3.0,-6.0,-4.0
0.1733547151063608,καταχαλκόω:VERB,,0.0,0.6666666666666666,0.3333333333333333,0.0,-1.5,-1.0
0.3425918223948282,κοινωνέω:VERB,,0.35714285714285715,0.14285714285714285,0.5,-1.2,-4.5,-1.2857142857142858
0.5994097351635302,λέγω:VERB,,0.38736842105263153,0.31494736842105264,0.2976842105263158,-1.2524256651017216,-2.1587540619798684,-1.3313359807119558
0.5178569046715666,λαλέω:VERB,,0.31521739130434784,0.4076086956521739,0.27717391304347827,-0.49090909090909096,-4.1506849315068495,-0.99
0.6357822439012702,παρίστημι:VERB,,0.3780487804878049,0.3170731707317073,0.3048780487804878,-0.7166666666666667,-7.44,-0.9583333333333334
0.5518147075417243,πόρω:VERB,,0.28888888888888886,0.39999999999999997,0.3111111111111111,-1.5833333333333333,-2.1470588235294117,-2.125
0.2447194915672523,συνακολουθέω:VERB,,0.6,0.2,0.2,0.0,-2.0,-1.0
0.16289055135470495,σύμφημι:VERB,,0.0,0.6000000000000001,0.4,0.0,-3.0,-1.5
0.14124970639523723,χρῄζω:VERB,,0.0,0.4375,0.5625,0.0,-0.4,-0.25
0.24805940936776016,ἀναμιμνῄσκω:VERB,,0.25,0.625,0.125,0.0,-2.0,-2.0
0.1733547151063608,ἀναστενάζω:VERB,,0.0,0.3333333333333333,0.6666666666666666,0.0,-2.0,-2.0
0.2661283536137551,ἀπειλέω:VERB,,0.21875,0.25,0.53125,-0.8571428571428571,-1.8571428571428572,-1.4833333333333332
0.3003461500192157,ἀποπειράομαι:VERB,,0.25,0.25,0.5,-2.0,-9.0,-3.0
0.23592057777970926,ἀποστέλλω:VERB,,0.3370165745856354,0.5966850828729282,0.06629834254143646,-0.39406779661016944,-3.7884615384615383,-1.985714285714286
0.12707918327503795,ἐγκύρω:VERB,,0.0,0.25,0.75,0.0,-1.0,-0.6666666666666666
0.6494039214445921,ἐμφανίζω:VERB,,0.375,0.3125,0.3125,-1.5,-3.5,-1.6
0.20699387555876764,ἐπαινέω:VERB,,0.47058823529411764,0.47058823529411764,0.058823529411764705,-0.1875,-4.25,-1.0
0.2953067716601478,ἔξεστι:VERB,,0.3118279569892473,0.15053763440860216,0.5376344086021505,-0.4458333333333333,-1.9666666666666668,-0.6354723707664884
