Node,NetworkParameter1,ClusterScore1,NetworkParameter2,ClusterScore2
SV,AverageShortestPathLength,0.11937524992115106,AverageShortestPathLength,0.1891477657817871
VS,AverageShortestPathLength,0.48134723976243526,AverageShortestPathLength,-0.18634607322691654
OV,ClusteringCoefficient,0.25571888460463016,NeighborhoodConnectivity,-0.45313783980041783
VO,NeighborhoodConnectivity,-0.13671692538411023,NeighborhoodConnectivity,-0.24124819518616042
VI,AverageShortestPathLength,-0.17999544984536525,EdgeCount,-0.2146989176279896
IV,AverageShortestPathLength,-0.29793569234772493,ClusteringCoefficient,-0.3624205383070089
SOV,NeighborhoodConnectivity,-0.05529499870402016,Outperc,0.3228538612922368
OVS,NeighborhoodConnectivity,0.4909042476015898,NeighborhoodConnectivity,-0.2618403537040941
ISV,ClosenessCentrality,0.17225766622202535,AverageShortestPathLength,0.5492403057029202
IVS,AverageShortestPathLength,0.03987950373538639,Eccentricity,-0.07520731570942281
VSI,ClusteringCoefficient,0.36939981495475505,ClusteringCoefficient,-0.4147345076345747
VIS,ClusteringCoefficient,0.36902512181462727,AverageShortestPathLength,0.0219968505388931
SIV,AverageShortestPathLength,0.04249033934059599,ClosenessCentrality,-0.22292471981413398
SVI,ClosenessCentrality,-0.10718567836398096,EdgeCount,-0.2504237953197661
OVI,NeighborhoodConnectivity,-0.39932687310608433,ClusteringCoefficient,1.9362330033824173
OIV,EdgeCount,0.43165408787562526,ClusteringCoefficient,-0.23269693200386143
IVO,NeighborhoodConnectivity,0.29694766042564125,ClusteringCoefficient,1.6368456396665243
IOV,NeighborhoodConnectivity,-0.04427999546503711,NeighborhoodConnectivity,0.0887535749302325
VIO,AverageShortestPathLength,-0.15503878610491104,EdgeCount,-0.07534906813709502
VOI,AverageShortestPathLength,-0.06163494631266926,EdgeCount,-0.23549510614924005
SVOI,ClusteringCoefficient,0.3538116276560467,EdgeCount,-0.1573638955542581
SVIO,AverageShortestPathLength,0.2615513917984848,EdgeCount,0.10932779156955441
SIVO,AverageShortestPathLength,-0.32376364337558555,EdgeCount,-0.1684493230834786
SIOV,NeighborhoodConnectivity,0.22516853740054113,ClosenessCentrality,0.3186088030476663
SOIV,AverageShortestPathLength,0.004407267713832249,AverageShortestPathLength,0.7971416628079132
SOVI,ClosenessCentrality,0.03947242492113991,AverageShortestPathLength,1.0682942130846271
OVSI,NeighborhoodConnectivity,0.6425798101615131,EdgeCount,-0.2736341545450335
OVIS,NeighborhoodConnectivity,0.26410947338090096,ClosenessCentrality,0.24373259575369252
OIVS,ClusteringCoefficient,0.47066977145405114,EdgeCount,-0.15000441374748286
OISV,EdgeCount,0.38664362171824856,AverageShortestPathLength,-0.24096813824694097
OSIV,Eccentricity,0.12084723253023909,ClusteringCoefficient,-0.18261168559939178
OSVI,NeighborhoodConnectivity,-0.07493004501226183,Eccentricity,-0.11598405955345788
IVSO,NeighborhoodConnectivity,0.44364884658114906,EdgeCount,-0.024153997205838572
IVOS,NeighborhoodConnectivity,-0.13387390850181274,EdgeCount,-0.1797166770797367
ISVO,ClusteringCoefficient,0.5085267017815879,EdgeCount,-0.10013486392953821
ISOV,ClusteringCoefficient,0.5458713346296576,AverageShortestPathLength,0.03519512883848338
IOSV,NeighborhoodConnectivity,-0.04845776852971407,NeighborhoodConnectivity,0.4908522078957338
IOVS,ClosenessCentrality,-0.1328767287542674,ClosenessCentrality,0.027761896998704485
VSOI,ClusteringCoefficient,0.360940361055883,EdgeCount,-0.397809177156758
VSIO,Eccentricity,0.2969896120773314,EdgeCount,-0.17469312546812468
VISO,NeighborhoodConnectivity,0.5166452970045635,EdgeCount,-0.14939076773444004
VIOS,EdgeCount,-0.28656462585034015,EdgeCount,-0.03225154670227093
VOSI,Eccentricity,0.1254101800976801,NeighborhoodConnectivity,-0.156292664661833
