SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
komme:VERB,pp,hvor:ADV,advmod,1.0,1,0
komme:VERB,pp,julemand:NOUN,nsubj,-1.0,1,2
hvor:ADV,pp,fra:ADP,case,-3.0,0,3
leve:VERB,pp,flertal:NOUN,nsubj,1.0,6,5
leve:VERB,pp,stadig:ADV,advmod,-1.0,6,7
plastikstykke:NOUN,pp,under:ADP,case,1.0,9,8
leve:VERB,pp,plastikstykke:NOUN,obl,-3.0,6,9
tæppe:NOUN,pp,eller:CCONJ,cc,1.0,11,10
plastikstykke:NOUN,pp,tæppe:NOUN,conj,-2.0,9,11
spænde:VERB,pp,som:PRON,obj,3.0,16,13
spænde:VERB,pp,de:PRON,nsubj,2.0,16,14
spænde:VERB,pp,have:AUX,aux,1.0,16,15
plastikstykke:NOUN,pp,spænde:VERB,acl:relcl,-7.0,9,16
spænde:VERB,pp,ud:ADV,obl:loc,-1.0,16,17
stok:NOUN,pp,over:ADP,case,2.0,20,18
stok:NOUN,pp,nogen:DET,det,1.0,20,19
ud:ADV,pp,stok:NOUN,obl,-3.0,17,20
telt:NOUN,pp,som:ADP,case,3.0,24,21
telt:NOUN,pp,en:DET,det,2.0,24,22
telt:NOUN,pp,improvisere:VERB,amod,1.0,24,23
spænde:VERB,pp,telt:NOUN,obl,-8.0,16,24
oplæg:NOUN,pp,Keld:PROPN,nmod:poss,1.0,27,26
følge:VERB,pp,oplæg:NOUN,nsubj,2.0,29,27
følge:VERB,pp,blive:AUX,aux,1.0,29,28
pointere:VERB,pp,følge:VERB,ccomp,5.0,34,29
procent:NOUN,pp,100:NUM,nummod,1.0,31,30
følge:VERB,pp,procent:NOUN,obl,-2.0,29,31
pointere:VERB,pp,Susan:PROPN,nsubj,-1.0,34,35
Susan:PROPN,pp,Mackensie:PROPN,flat,-1.0,35,36
fortynde:VERB,pp,Raki:PROPN,nsubj,1.0,39,38
vand:NOUN,pp,med:ADP,case,1.0,41,40
fortynde:VERB,pp,vand:NOUN,obl,-2.0,39,41
få:VERB,pp,og:CCONJ,cc,1.0,43,42
fortynde:VERB,pp,få:VERB,conj,-4.0,39,43
udseende:NOUN,pp,en:DET,det,3.0,47,44
udseende:NOUN,pp,uskyldig:ADJ,amod,2.0,47,45
udseende:NOUN,pp,mælkeagtig:ADJ,amod,1.0,47,46
