SourceNode,InteractionType,TargetNode,DEPREL,SententialDistance,SourceNodeIndex,TargetNodeIndex
povedať:VERB,pp,poslúchnuť:VERB,ccomp,12.0,13,1
poslúchnuť:VERB,pp,rozkaz:NOUN,obj,-1.0,1,2
poslúchnuť:VERB,pp,ľahnúť:VERB,conj,-3.0,1,4
ľahnúť:VERB,pp,si:PRON,expl:pv,-1.0,4,5
zem:NOUN,pp,na:ADP,case,1.0,7,6
ľahnúť:VERB,pp,zem:NOUN,obl,-3.0,4,7
odpáliť:VERB,pp,a:CCONJ,cc,1.0,9,8
poslúchnuť:VERB,pp,odpáliť:VERB,conj,-8.0,1,9
odpáliť:VERB,pp,granát:NOUN,obj,-1.0,9,10
povedať:VERB,pp,hovorkyňa:NOUN,nsubj,-1.0,13,14
polícia:NOUN,pp,miestny:ADJ,amod,1.0,16,15
hovorkyňa:NOUN,pp,polícia:NOUN,nmod,-2.0,14,16
krok:NOUN,pp,ďalší:ADJ,amod,1.0,19,18
poviesť:VERB,pp,krok:NOUN,nsubj,3.0,22,19
sudkyňa:NOUN,pp,švajčiarský:ADJ,amod,1.0,21,20
krok:NOUN,pp,sudkyňa:NOUN,nmod,-2.0,19,21
belehrad:PROPN,pp,do:ADP,case,1.0,24,23
poviesť:VERB,pp,belehrad:PROPN,obl,-2.0,22,24
previesť:VERB,pp,spor:NOUN,obj,11.0,37,26
tribunál:NOUN,pp,medzi:ADP,case,1.0,28,27
spor:NOUN,pp,tribunál:NOUN,nmod,-2.0,26,28
vláda:NOUN,pp,a:CCONJ,cc,2.0,31,29
vláda:NOUN,pp,záhrebský:ADJ,amod,1.0,31,30
tribunál:NOUN,pp,vláda:NOUN,conj,-3.0,28,31
vyzerať:VERB,pp,ktorý:DET,nsubj,1.0,34,33
spor:NOUN,pp,vyzerať:VERB,acl,-8.0,26,34
vyzerať:VERB,pp,zásadne:ADV,advmod,-1.0,34,35
rovina:NOUN,pp,do:ADP,case,3.0,41,38
technický:ADJ,pp,čisto:ADV,advmod,1.0,40,39
rovina:NOUN,pp,technický:ADJ,amod,1.0,41,40
previesť:VERB,pp,rovina:NOUN,obl,-4.0,37,41
písať:VERB,pp,nakoniec:ADV,advmod,2.0,45,43
písať:VERB,pp,sa:PRON,expl:pass,1.0,45,44
obvinenie:NOUN,pp,o:ADP,case,1.0,47,46
písať:VERB,pp,obvinenie:NOUN,obl:arg,-2.0,45,47
generál:NOUN,pp,šesť:NUM,nummod,1.0,49,48
obvinenie:NOUN,pp,generál:NOUN,nmod,-2.0,47,49
predstaviteľ:NOUN,pp,a:CCONJ,cc,3.0,53,50
predstaviteľ:NOUN,pp,dva:NUM,nummod,2.0,53,51
predstaviteľ:NOUN,pp,vysoký:ADJ,amod,1.0,53,52
generál:NOUN,pp,predstaviteľ:NOUN,conj,-4.0,49,53
vláda:NOUN,pp,bývalý:ADJ,amod,1.0,55,54
predstaviteľ:NOUN,pp,vláda:NOUN,nmod,-2.0,53,55
rad:NOUN,pp,v:ADP,case,2.0,59,57
rad:NOUN,pp,prvý:ADJ,amod,1.0,59,58
dôjsť:VERB,pp,rad:NOUN,obl,2.0,61,59
dôjsť:VERB,pp,vraj:PART,advmod,1.0,61,60
nepochopenie:NOUN,pp,k:ADP,case,1.0,63,62
dôjsť:VERB,pp,nepochopenie:NOUN,obl:arg,-2.0,61,63
vysvetliť:VERB,pp,to:DET,obj,1.0,66,65
ponteová:PROPN,pp,del:X,nmod,1.0,68,67
vysvetliť:VERB,pp,ponteová:PROPN,nsubj,-2.0,66,68
vysvetliť:VERB,pp,chorvát:PROPN,iobj,-3.0,66,69
prísť:VERB,pp,keď:SCONJ,mark,6.0,77,71
pondelok:NOUN,pp,v:ADP,case,1.0,73,72
prísť:VERB,pp,pondelok:NOUN,obl,4.0,77,73
pozvanie:NOUN,pp,na:ADP,case,1.0,75,74
prísť:VERB,pp,pozvanie:NOUN,obl,2.0,77,75
pozvanie:NOUN,pp,premiér:NOUN,nmod,-1.0,75,76
vysvetliť:VERB,pp,prísť:VERB,advcl,-11.0,66,77
záhreb:PROPN,pp,do:ADP,case,1.0,79,78
prísť:VERB,pp,záhreb:PROPN,obl,-2.0,77,79
zostať:VERB,pp,koalícia:NOUN,nsubj,2.0,83,81
zostať:VERB,pp,hádam:PART,advmod,1.0,83,82
zostať:VERB,pp,pohromade:ADV,advmod,-1.0,83,84
cesta:NOUN,pp,ďalší:ADJ,amod,2.0,88,86
cesta:NOUN,pp,balkánsky:ADJ,amod,1.0,88,87
viesť:VERB,pp,cesta:NOUN,nsubj,4.0,92,88
ponteová:PROPN,pp,carla:PROPN,nmod,2.0,91,89
ponteová:PROPN,pp,del:PROPN,nmod,1.0,91,90
cesta:NOUN,pp,ponteová:PROPN,nmod,-3.0,88,91
belehrad:PROPN,pp,do:ADP,case,1.0,94,93
viesť:VERB,pp,belehrad:PROPN,obl,-2.0,92,94
viezť:VERB,pp,a:CCONJ,cc,3.0,99,96
viezť:VERB,pp,tentoraz:ADV,advmod,2.0,99,97
viezť:VERB,pp,vraj:PART,advmod,1.0,99,98
zatykač:NOUN,pp,aj:CCONJ,advmod:emph,1.0,101,100
viezť:VERB,pp,zatykač:NOUN,obj,-2.0,99,101
byť:VERB,pp,tu:ADV,advmod,1.0,104,103
spis:NOUN,pp,obžalovací:ADJ,amod,1.0,106,105
byť:VERB,pp,spis:NOUN,nsubj,-2.0,104,106
byť:VERB,pp,tu:ADV,advmod,1.0,109,108
byť:VERB,pp,byť:VERB,conj,-5.0,104,109
byť:VERB,pp,zatykač:NOUN,nsubj,-1.0,109,110
byť:VERB,pp,hospodárstvo:NOUN,nsubj,2.0,114,112
hospodárstvo:NOUN,pp,kľdr:X,nmod,-1.0,112,113
koleno:NOUN,pp,na:ADP,case,1.0,116,115
byť:VERB,pp,koleno:NOUN,obl,-2.0,114,116
hladovať:VERB,pp,a:CCONJ,cc,2.0,119,117
hladovať:VERB,pp,dieťa:NOUN,nsubj,1.0,119,118
byť:VERB,pp,hladovať:VERB,conj,-5.0,114,119
návšteva:NOUN,pp,po:ADP,case,3.0,124,121
návšteva:NOUN,pp,vlaňajší:ADJ,amod,2.0,124,122
návšteva:NOUN,pp,inkognito:ADJ,amod,1.0,124,123
pricestovať:VERB,pp,návšteva:NOUN,obl,5.0,129,124
návšteva:NOUN,pp,peking:PROPN,nmod,-1.0,124,125
vodca:NOUN,pp,kórejský:ADJ,amod,1.0,127,126
pricestovať:VERB,pp,vodca:NOUN,nsubj,2.0,129,127
pricestovať:VERB,pp,opäť:ADV,advmod,1.0,129,128
čína:PROPN,pp,do:ADP,case,1.0,131,130
pricestovať:VERB,pp,čína:PROPN,obl,-2.0,129,131
vlak:NOUN,pp,svoj:DET,det,2.0,134,132
vlak:NOUN,pp,zvláštny:ADJ,amod,1.0,134,133
pricestovať:VERB,pp,vlak:NOUN,obl,-5.0,129,134
informovať:VERB,pp,spravodajca:NOUN,nsubj,3.0,139,136
spravodajca:NOUN,pp,bbc:X,nmod,-1.0,136,137
informovať:VERB,pp,napríklad:PART,advmod,1.0,139,138
naznačovať:VERB,pp,že:SCONJ,mark,8.0,149,141
naháňačka:NOUN,pp,veľký:ADJ,amod,1.0,143,142
naznačovať:VERB,pp,naháňačka:NOUN,nsubj,6.0,149,143
lístok:NOUN,pp,za:ADP,case,1.0,145,144
naháňačka:NOUN,pp,lístok:NOUN,nmod,-2.0,143,145
opera:NOUN,pp,do:ADP,case,2.0,148,146
opera:NOUN,pp,pekinskej:ADJ,amod,1.0,148,147
lístok:NOUN,pp,opera:NOUN,nmod,-3.0,145,148
informovať:VERB,pp,naznačovať:VERB,ccomp,-10.0,139,149
mať:VERB,pp,že:SCONJ,mark,2.0,153,151
mať:VERB,pp,kim:PROPN,nsubj,1.0,153,152
naznačovať:VERB,pp,mať:VERB,ccomp,-4.0,149,153
mať:VERB,pp,navštíviť:VERB,xcomp,-1.0,153,154
predstavenie:NOUN,pp,včerajší:ADJ,amod,1.0,156,155
navštíviť:VERB,pp,predstavenie:NOUN,obj,-2.0,154,156
uvádzať:VERB,pp,väčšina:NOUN,nsubj,3.0,161,158
väčšina:NOUN,pp,zdroj:NOUN,nmod,-1.0,158,159
uvádzať:VERB,pp,však:PART,advmod,1.0,161,160
mať:VERB,pp,že:SCONJ,mark,2.0,165,163
mať:VERB,pp,by:AUX,aux,1.0,165,164
uvádzať:VERB,pp,mať:VERB,ccomp,-4.0,161,165
mať:VERB,pp,byť:VERB,xcomp,-1.0,165,166
šanghaj:PROPN,pp,v:ADP,case,1.0,168,167
byť:VERB,pp,šanghaj:PROPN,obl,-2.0,166,168
používať:VERB,pp,rovnaký:ADJ,dep,2.0,172,170
používať:VERB,pp,vraj:PART,advmod,1.0,172,171
čas:NOUN,pp,v:ADP,case,1.0,174,173
používať:VERB,pp,čas:NOUN,obl,-2.0,172,174
cesta:NOUN,pp,kimov:ADJ,amod,2.0,177,175
cesta:NOUN,pp,minuloročný:ADJ,amod,1.0,177,176
čas:NOUN,pp,cesta:NOUN,nmod,-3.0,174,177
byť:VERB,pp,kľdr:X,nsubj,1.0,180,179
byť:VERB,pp,však:PART,advmod,-1.0,180,181
koleno:NOUN,pp,na:ADP,case,1.0,183,182
byť:VERB,pp,koleno:NOUN,obl,-3.0,180,183
kalamita:NOUN,pp,počas:ADP,case,1.0,185,184
byť:VERB,pp,kalamita:NOUN,obl,-5.0,180,185
ona:PRON,pp,aj:CCONJ,cc,2.0,188,186
ona:PRON,pp,po:ADP,case,1.0,188,187
kalamita:NOUN,pp,ona:PRON,conj,-3.0,185,188
zástavka:NOUN,pp,prvý:ADJ,amod,2.0,192,190
zástavka:NOUN,pp,kimov:ADJ,amod,1.0,192,191
zástavka:NOUN,pp,byť:AUX,cop,-1.0,192,193
zástavka:NOUN,pp,centrum:NOUN,nsubj,-2.0,192,194
biznis:NOUN,pp,čínsky:ADJ,amod,1.0,196,195
centrum:NOUN,pp,biznis:NOUN,nmod,-2.0,194,196
centrum:NOUN,pp,šanghaj:PROPN,appos,-4.0,194,198
sprevádzať:VERB,pp,kim:PROPN,obj,1.0,201,200
sprevádzať:VERB,pp,20:NUM,nsubj,-1.0,201,202
činiteľ:NOUN,pp,vysokopostavený:ADJ,amod,2.0,205,203
činiteľ:NOUN,pp,severokórejský:ADJ,amod,1.0,205,204
20:NUM,pp,činiteľ:NOUN,nmod,-3.0,202,205
výlet:NOUN,pp,kimov:ADJ,amod,3.0,210,207
výlet:NOUN,pp,neoficiálny:ADJ,amod,2.0,210,208
výlet:NOUN,pp,čínsky:ADJ,amod,1.0,210,209
znamenať:VERB,pp,výlet:NOUN,nsubj,4.0,214,210
znamenať:VERB,pp,tentoraz:ADV,advmod,3.0,214,211
znamenať:VERB,pp,zrejme:PART,advmod,2.0,214,212
znamenať:VERB,pp,prelom:NOUN,obj,1.0,214,213
znamenať:VERB,pp,byť:AUX,aux,-1.0,214,215
zápas:NOUN,pp,po:ADP,case,1.0,218,217
nasledovať:VERB,pp,zápas:NOUN,obl,1.0,219,218
nasledovať:VERB,pp,banket:NOUN,nsubj,-1.0,219,220
ktorý:DET,pp,na:ADP,case,1.0,223,222
spláchnuť:VERB,pp,ktorý:DET,obl,2.0,225,223
spláchnuť:VERB,pp,moskovčan:PROPN,nsubj,1.0,225,224
banket:NOUN,pp,spláchnuť:VERB,acl,-5.0,220,225
chuť:NOUN,pp,trpký:ADJ,amod,1.0,227,226
spláchnuť:VERB,pp,chuť:NOUN,obj,-2.0,225,227
chuť:NOUN,pp,porážka:NOUN,nmod,-1.0,227,228
rokovať:VERB,pp,haider:PROPN,nsubj,2.0,232,230
rokovať:VERB,pp,tajne:ADV,advmod,1.0,232,231
moskva:PROPN,pp,v:ADP,case,1.0,234,233
rokovať:VERB,pp,moskva:PROPN,obl,-2.0,232,234
oponent:NOUN,pp,olshanský:PROPN,nmod,-1.0,235,236
oponent:NOUN,pp,byť:AUX,cop,-2.0,235,237
austad:PROPN,pp,steven:PROPN,nmod,1.0,239,238
oponent:NOUN,pp,austad:PROPN,nsubj,-4.0,235,239
university:X,pp,z:ADP,case,1.0,241,240
austad:PROPN,pp,university:X,nmod,-2.0,239,241
idaho:X,pp,of:X,case,1.0,243,242
university:X,pp,idaho:X,flat:foreign,-2.0,241,243
prípad:NOUN,pp,v:ADP,case,1.0,246,245
nahradiť:VERB,pp,prípad:NOUN,obl,7.0,253,246
byť:VERB,pp,že:SCONJ,mark,1.0,249,248
prípad:NOUN,pp,byť:VERB,acl,-3.0,246,249
dedič:NOUN,pp,ani:PART,advmod:emph,1.0,251,250
byť:VERB,pp,dedič:NOUN,nsubj,-2.0,249,251
nahradiť:VERB,pp,on:PRON,obj,-1.0,253,254
nahradiť:VERB,pp,univerzita:NOUN,nsubj,-2.0,253,255
zomrieť:VERB,pp,pacient:NOUN,nsubj,19.0,278,259
pacient:NOUN,pp,nemocnica:NOUN,nmod,-1.0,259,260
lugano:PROPN,pp,v:ADP,case,2.0,263,261
lugano:PROPN,pp,švajčiarsky:ADJ,amod,1.0,263,262
nemocnica:NOUN,pp,lugano:PROPN,nmod,-3.0,260,263
