probability,verb,prev_layer,subj_freq,obj_freq,iobj_freq,subj_avdist,obj_avdist,iobj_avdist
0.18034260662645799,abhalten:VERB,,0.75,0.125,0.125,4.3,1.0,-6.0
0.5925845405991679,abraten:VERB,,0.4166666666666667,0.08333333333333333,0.5,4.8,1.0,-1.5
0.3713844118498105,abzielen:VERB,,0.75,0.0,0.25,8.0,0.0,-5.0
0.19730385585145738,anbieten:VERB,,0.5348837209302326,0.27906976744186046,0.18604651162790697,8.404166666666667,-3.1818181818181817,-0.6428571428571432
0.890326026731683,angewiesen:VERB,,0.5,0.0,0.5,3.0,0.0,-6.0
0.2023702039460383,ankündigen:VERB,,0.5454545454545454,0.2727272727272727,0.18181818181818182,3.875,-3.25,-16.5
0.15966938453155355,anwenden:VERB,,0.6875,0.25,0.0625,14.208333333333334,5.0,-12.0
0.37500801192317984,auffordern:VERB,,0.4,0.2,0.4,7.0,6.0,-11.25
0.890326026731683,aufhören:VERB,,0.5,0.0,0.5,4.0,0.0,-5.0
0.23763271794802684,aufrufen:VERB,,0.5555555555555556,0.2222222222222222,0.2222222222222222,6.0,7.0,-8.0
0.21408877994444975,ausgehen:VERB,,0.6666666666666667,0.2222222222222222,0.1111111111111111,3.7,-8.0,-6.0
0.4081187240344978,ausreichen:VERB,,0.6666666666666666,0.0,0.3333333333333333,5.5,0.0,-8.0
0.13927608643850142,ausrichten:VERB,,0.6666666666666667,0.26666666666666666,0.06666666666666667,8.541666666666668,5.25,-11.0
0.12933845197325763,ausstatten:VERB,,0.6190476190476191,0.2857142857142857,0.09523809523809523,8.678571428571429,6.666666666666667,-1.0
0.133952672881377,bauen:VERB,,0.6973684210526316,0.2631578947368421,0.039473684210526314,4.981684981684982,-12.289473684210526,-1.75
0.890326026731683,beabsichtigen:VERB,,0.5,0.0,0.5,2.5,0.0,-6.5
0.12846690947268397,beantragen:VERB,,0.5,0.3333333333333333,0.16666666666666666,4.0,6.5,-10.0
0.4081187240344978,bedarf:VERB,,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,-4.0
0.24116342193906073,bedrängen:VERB,,0.5,0.25,0.25,10.0,1.0,-11.0
0.890326026731683,bedürfen:VERB,,0.5,0.0,0.5,0.75,0.0,-2.5
0.2459351291169448,beginnen:VERB,,0.6444444444444445,0.2,0.15555555555555556,4.65929203539823,-1.2222222222222223,-8.392857142857142
